name,base,hieght
0,13,51
1,24,29
2,32,23
3,41,99
4,27,35
5,87,94
6,65,69
7,85,25
8,65,80
9,42,74
10,11,74
11,28,19
12,17,37
13,47,12
14,42,53
15,54,95
16,57,44
17,63,21
18,51,41
19,43,37
20,31,15
21,69,60
22,14,20
23,75,12
24,86,57
25,63,76
26,37,25
27,72,75
28,52,84
29,85,46
30,87,33
31,64,17
32,22,18
33,81,32
34,47,30
35,72,55
36,84,38
37,55,19
38,95,52
39,45,27
40,91,71
41,23,17
42,46,16
43,28,100
44,95,75
45,46,24
46,87,64
47,20,40
48,86,26
49,60,24
50,51,39
51,42,85
52,42,32
53,57,33
54,49,31
55,90,42
56,25,97
57,85,23
58,75,68
59,44,75
60,21,53
61,72,41
62,33,34
63,45,73
64,10,19
65,65,41
66,83,49
67,97,94
68,78,51
69,36,92
70,62,21
71,89,78
72,69,59
73,98,56
74,65,17
75,67,79
76,17,29
77,67,90
78,11,68
79,51,57
80,18,78
81,82,63
82,53,29
83,70,36
84,15,59
85,28,41
86,45,36
87,11,94
88,88,44
89,15,95
90,37,62
91,82,59
92,13,58
93,15,92
94,97,83
95,44,51
96,54,100
97,38,39
98,82,18
99,93,37
100,99,82
101,99,98
102,24,99
103,72,11
104,84,50
105,41,39
106,79,14
107,30,10
108,36,92
109,43,63
110,86,32
111,17,35
112,27,76
113,98,83
114,65,22
115,77,97
116,48,89
117,74,75
118,62,16
119,82,80
120,100,64
121,26,81
122,53,32
123,92,28
124,12,94
125,51,26
126,80,48
127,63,68
128,27,66
129,69,36
130,26,63
131,22,23
132,10,38
133,10,85
134,55,94
135,85,51
136,64,32
137,82,71
138,69,38
139,33,72
140,16,13
141,15,34
142,23,51
143,85,94
144,83,94
145,53,75
146,71,74
147,39,87
148,81,73
149,31,43
150,75,64
151,81,78
152,12,88
153,36,31
154,42,67
155,55,43
156,86,78
157,100,99
158,74,30
159,34,56
160,63,32
161,32,33
162,58,92
163,57,100
164,45,88
165,29,85
166,59,84
167,70,49
168,46,19
169,30,67
170,34,32
171,49,31
172,99,66
173,24,36
174,92,58
175,28,45
176,100,17
177,11,63
178,82,88
179,43,83
180,45,19
181,51,10
182,78,18
183,40,46
184,24,32
185,34,36
186,95,84
187,99,79
188,61,21
189,47,39
190,74,50
191,12,18
192,18,67
193,48,73
194,64,96
195,18,62
196,22,36
197,24,71
198,75,34
199,46,68
200,73,61
201,57,94
202,10,54
203,27,80
204,31,82
205,83,43
206,74,78
207,60,82
208,82,17
209,93,54
210,13,21
211,63,20
212,12,33
213,99,19
214,19,29
215,48,17
216,59,99
217,63,39
218,22,54
219,86,15
220,50,91
221,68,36
222,94,78
223,88,55
224,34,20
225,71,37
226,51,11
227,87,88
228,75,17
229,23,24
230,33,85
231,16,75
232,46,59
233,50,99
234,11,92
235,39,14
236,26,18
237,32,99
238,36,28
239,55,70
240,19,65
241,20,46
242,15,37
243,54,26
244,28,77
245,28,93
246,24,14
247,100,36
248,27,66
249,37,91
250,42,86
251,20,14
252,51,72
253,39,48
254,79,79
255,94,61
256,94,66
257,91,35
258,43,44
259,88,47
260,93,69
261,52,91
262,77,79
263,98,99
264,10,27
265,58,73
