current_house_price,zipcode,ownership_pct
355586,49740,0.01
350278,13820,0.023
600501,10540,0.077
396134,50045,0.064
362661,44180,0.015
306956,19140,0.09
135354,26900,0.006
656300,44420,0.097
434484,11540,0.066
628752,45540,0.009
748470,22020,0.023
724230,33540,0.075
961447,10780,0.038
830997,31540,0.097
221785,24580,0.053
725465,10500,0.009
627610,26580,0.075
814249,47940,0.04
937407,19300,0.086
655955,21500,0.008
735589,17900,0.006
142664,31900,0.045
243685,46140,0.092
939716,17860,0.098
778017,13900,0.051
827462,35840,0.05
923896,45104,0.057
158900,47580,0.005
187344,14454,0.028
464221,40900,0.015
228201,49700,0.029
964380,29740,0.031
789841,19340,0.092
901631,50009,0.093
550672,44220,0.058
209982,30700,0.032
352251,31460,0.009
789482,29180,0.011
253908,29940,0.046
465000,21060,0.033
212411,30300,0.053
263248,36500,0.072
443653,47380,0.015
776336,45460,0.021
107251,33340,0.049
490725,10540,0.008
858585,29420,0.058
219891,16540,0.098
930232,40980,0.074
415313,16620,0.092
135057,31020,0.067
104778,37900,0.091
525565,25180,0.046
172387,20260,0.036
825105,41940,0.015
171969,50026,0.086
136120,12700,0.064
450930,27620,0.01
215515,50031,0.065
337395,50015,0.012
950684,19380,0.001
341438,33874,0.059
676808,28700,0.09
292232,14860,0.05
869847,50032,0.095
394804,23460,0.001
644415,16620,0.021
909810,29620,0.007
796911,14020,0.023
939671,25060,0.034
459986,14100,0.082
276424,18700,0.089
175569,50051,0.023
254904,19740,0.088
130824,40340,0.011
205086,17020,0.057
267919,42020,0.08
992363,21660,0.074
853837,16860,0.033
401805,15180,0.071
232801,17660,0.042
369423,29180,0.004
107194,17460,0.003
682183,16580,0.058
526083,13740,0.051
455303,49660,0.081
666272,24140,0.076
109577,31860,0.011
548232,23844,0.026
435942,38060,0.075
265994,29820,0.001
790483,40580,0.059
418331,45940,0.049
802230,21780,0.022
523705,36540,0.019
620374,35840,0.088
825626,39140,0.026
896957,21420,0.07
369162,38220,0.008
602092,12940,0.067
444225,20940,0.078
306559,36780,0.009
975194,26380,0.074
309575,36780,0.082
227342,29820,0.045
824563,50045,0.07
824850,40220,0.093
425660,50028,0.081
517121,50045,0.009
173452,50038,0.038
763773,29940,0.09
478837,17980,0.022
802984,14260,0.004
903868,31340,0.096
120179,26980,0.016
377327,0,0.041
946836,25540,0.085
892294,14100,0.075
504135,13900,0.021
262537,35614,0.047
156909,50051,0.023
264274,38900,0.055
286496,28660,0.006
585706,29420,0.023
528406,35980,0.082
333348,18580,0.046
505597,29340,0.075
580430,50006,0.002
101086,41620,0.078
484848,44220,0.07
800111,47300,0.021
694104,16700,0.038
791166,40140,0.04
206994,33660,0.057
180634,29340,0.077
413964,27140,0.085
713012,37460,0.049
265650,34620,0.09
166702,31340,0.047
292644,12420,0.089
547817,26140,0.075
970978,49420,0.094
838603,36540,0.092
947579,24300,0.077
797694,40484,0.061
802102,47580,0.036
578654,39580,0.065
685520,27980,0.071
514911,37964,0.024
555521,50036,0.016
446283,47260,0.062
595470,23900,0.04
185926,28100,0.015
316695,35614,0.022
450844,25180,0.032
845516,43100,0.039
716473,12260,0.072
699571,50044,0.005
871004,31740,0.006
909227,40220,0.032
882629,17300,0.083
155057,24020,0.075
130172,47664,0.008
171370,24300,0.054
612485,10540,0.051
524683,42540,0.045
103901,17140,0.067
202152,35840,0.021
439061,50039,0.03
311282,37340,0.027
238338,41620,0.081
462713,24860,0.063
766770,48900,0.045
147950,19300,0.082
425314,27740,0.059
861288,43100,0.043
511145,42680,0.034
419369,10580,0.012
431543,33140,0.069
274978,11244,0.077
654243,45820,0.095
601823,49620,0.063
712158,18880,0.096
823140,50013,0.044
537723,44140,0.057
840104,44100,0.023
593015,28660,0.083
883003,50016,0.084
426287,16060,0.049
893981,50001,0.065
933779,13220,0.034
658241,41060,0.025
893220,23060,0.013
341561,33740,0.08
948095,22180,0.064
423934,30700,0.073
524371,38340,0.009
394311,26900,0.013
896456,21140,0.015
876184,24660,0.082
633576,15940,0.068
825427,11260,0.005
318671,50048,0.003
980140,39820,0.033
194559,17460,0.039
731728,43780,0.013
206414,49420,0.017
944215,43580,0.01
599829,43620,0.085
985831,19300,0.02
849377,10500,0.012
730787,15380,0.022
867156,50045,0.033
977347,15540,0.085
801887,15804,0.028
143144,29740,0.089
696288,30020,0.07
873033,29200,0.046
487704,33220,0.061
892760,12980,0.059
401902,43100,0.019
774072,10780,0.076
247354,31420,0.053
239134,30980,0.065
502735,19140,0.059
738329,42340,0.089
941057,15180,0.071
935997,25940,0.011
135929,21140,0.008
492639,50047,0.016
255386,20994,0.079
116174,11460,0.05
739358,11244,0.009
101302,36540,0.048
616345,48700,0.049
265840,48660,0.053
933953,17420,0.061
783428,10500,0.036
466572,10780,0.052
665259,32820,0.012
118276,14500,0.075
973086,12700,0.097
276112,23900,0.011
716253,36740,0.025
676053,45500,0.095
271441,46660,0.018
874237,12620,0.091
376248,47260,0.085
666844,34100,0.073
966841,10580,0.081
103792,48300,0.065
157238,49180,0.043
815130,41620,0.059
904221,35300,0.031
274955,42020,0.079
904411,50048,0.045
321483,37860,0.036
611794,16020,0.081
839211,19124,0.096
577766,34740,0.065
364084,30620,0.066
426523,31860,0.071
227380,13780,0.052
753551,33460,0.048
612448,50055,0.023
555664,40660,0.05
537846,25060,0.043
266867,17300,0.026
218721,50005,0.09
866204,10580,0.087
436357,28020,0.043
480358,39740,0.026
897258,21140,0.098
514189,16220,0.053
934066,49180,0.07
814854,47580,0.012
257466,26380,0.076
372680,50035,0.086
148692,43300,0.013
529606,15680,0.083
317787,21500,0.01
728102,46700,0.018
746616,19124,0.082
203278,41740,0.023
556363,20260,0.005
274012,30700,0.075
583394,50056,0.085
940151,31020,0.041
257995,50005,0.066
465486,43340,0.046
208784,42644,0.055
230155,43524,0.095
895210,31084,0.005
277445,17780,0.019
558018,45460,0.053
517913,45060,0.018
559395,35100,0.037
797616,25420,0.085
500048,25860,0.092
329187,25060,0.098
932262,35084,0.052
619458,22220,0.076
266858,15980,0.038
831345,16060,0.094
100209,22220,0.095
897784,41100,0.095
853609,48864,0.029
618501,24260,0.047
646690,33780,0.061
671445,39820,0.049
170088,36260,0.015
732145,47020,0.012
321452,24660,0.026
129061,49420,0.085
819512,36100,0.099
169813,50004,0.066
486664,11700,0.067
609121,41660,0.051
390570,39460,0.049
580931,24140,0.008
463305,35004,0.071
282476,22420,0.035
403826,50026,0.024
534659,47894,0.006
952239,11500,0.05
240458,50054,0.094
852902,50023,0.048
152166,30860,0.009
317567,36500,0.027
698751,43900,0.029
209922,12700,0.06
501120,50017,0.029
425612,16820,0.057
968996,14860,0.097
730104,35660,0.076
700358,32780,0.018
481474,45220,0.004
281057,22520,0.049
135873,38540,0.069
746891,27620,0.099
476502,24500,0.062
631682,31420,0.06
